Jan ,Feb ,Mar ,Apr ,May ,June ,July ,Aug ,Sep ,Oct ,Nov ,Dec ,Year
12,20,14,102,273,173,95,121,282,297,0,4,116.08
16,42,0,101,313,235,105,208,309,306,0,9,137
7,37,0,38,274,208,116,209,181,296,0,0,113.83
18,58,0,30,338,302,87,204,380,435,0,0,154.33
11,72,0,44,210,221,137,172,208,285,0,5,113.75
18,15,1,126,275,338,334,274,254,253,0,5,157.75
9,15,0,70,308,472,116,220,351,241,0,25.3,163.82
10,17,16,145,355,883,291,330,356,209,0,5,218.08
1,11,0,45,358,570,274,126,379,148,0,20,161
6,18,0,76,328,709,272,114,628,86,0,11,187.33
6,24,6,79,439,743,197,123,535,147,0,50,195.75
11,8,0,60,333,566,377,345,233,157,4,4,174.83
6,23,10,60,270,343,143,99,273,196,0,2,118.75
6,46,0,78,317,322,111,153,194,419,0,0,137.17
20,10,0,99,373,302,201,315,306,310,0,0,161.33
8,13,3,38,385,505,265,382,696,147,0,0,203.5
3,13,0,69,292,590,296,431,446,335,0,0,206.25
8,30,3,52,265,701,167,322,413,83,0,15,171.58
7,15,0,39,290,522,208,96,404,169,0,0,145.83
7,6,88,10,264,894,270,529,272,171,27,0,211.5
17,24,30,281,837,1461,758,442,716,334,0,8,409
20,27,0,116,625,591,304,378,307,443,0,1,234.33
3,39,0,20,176,70,85,308,259,56,0,1,84.75
23,46,0,28,204,85,75,208,273,144,0,0,90.5
17,40,0,57,271,331,235,108,398,103,0,3,130.25
5,44,0,132,250,189,165,140,289,72,0,25.3,116.91
4,43,9,67,333,115,130,199,446,106,0,1,121.08
8,82,0,179,267,585,328,242,148,69,21.8,0,173.45
18,61,3,77,392,421,196,228,220,97,0,0,142.75
12,70,24,198,285,402,228,178,245,70,0,0,142.67
1,41,49,90,309,1063,597,444,548,379,0,0,293.42
2,73,38,250,317,717,274,214,299,176,0,0,196.67
8,78,0,472,530,739,170,453,129,127,0,0,225.5
8,75,0,13,185,110,82,184,344,293,0,0,107.83
7,29,0,2,111,224,143,292,284,434,0,0,127.17
11,67,0,5,180,88,194,195,301,123,0,25.3,105.82
7,38,0,26,211,64,77,213,163,110,0,0,75.75
17,76,0,15,183,132,134,178,420,65,0,0,101.67
17,38,0,29,241,166,90,169,235,128,0,1,92.83
4,37,0,12,203,317,168,331,276,474,0,1,151.92
6,19,0,14,211,241,274,326,297,380,0,0,147.33
4,36,0,5,363,195,169,502,522,496,0,0,191
7,23,0,45,206,321,121,289,251,414,0,3,140
0,0,3,39,244,543,318,247,140,166,27,153,156.67
0,0,8,61,218,536,168,455,115,221,11,38,152.58
0,0,0,18,186,321,456,354,122,71,29,175,144.33
0,0,0,15,180,427,282,185,141,80,27,113,120.83
0,0,0,3,118,485,271,233,316,168,12,74,140
0,0,14,60,308,386,284,516,246,163,2,31,167.5
0,0,2,45,376,429,230,435,66,188,0,9,148.33
0,0,71,46,424,729,456,658,182,177,0,11,229.5
0,0,0,25,210,905,865,753,314,234,0,95,283.42
0,0,0,0,162,790,798,713,357,126,0,62,250.67
0,0,0,0,94,1051,587,656,211,129,0,66,232.83
0,0,0,34,113,438,407,576,218,146,0,74,167.17
0,0,0,4,150,439,365,269,544,118,20,164,172.75
2,0,2,3,164,469,357,398,235,198,34,126,165.67
0,0,0,6,181,717,468,436,233,212,0,92,195.42
0,0,1,16,104,618,721,382,296,192,19,89,203.17
0,0,0,2,151,1174,725,749,321,104,0,67,274.42
0,0,0,46,167,808,1095,936,185,207,0,39,290.25
0,0,0,19,94,902,1084,973,133,252,0,84,295.08
0,0,0,9,29,927,1003,641,159,171,0,21,246.67
0,0,128,133,338,669,651,915,207,240,0,14,274.58
3,0,109,39,244,228,233,436,170,165,2,66,141.25
0,0,0,18,193,233,336,540,148,116,1,1,132.17
0,0,1,41,175,430,285,337,170,117,18,16,132.5
0,0,6,24,296,404,289,408,115,90,0,1,136.08
0,0,0,11,310,541,191,370,97,109,0,0,135.75
0,0,0,137,211,289,231,447,147,123,0,4,132.42
0,0,9,54,312,241,170,448,193,386,0,5,151.5
0,0,0,22,277,289,185,412,121,442,0,5,146.08
0,0,0,52,291,245,306,548,233,350,0,4,169.08
0,0,17,26,218,452,747,819,286,416,0,4,248.75
0,0,27,41,270,348,420,568,213,339,0,1,185.58
0,0,20,73,381,296,149,459,324,382,0,2,173.83
0,3,0,2,136,458,524,202,340,234,3,69,164.25
0,0,0,0,206,431,961,332,373,248,2,60,217.75
0,3,0,1,173,402,511,235,347,217,3,87,164.92
0,1,0,4,170,368,294,210,332,167,41,193,148.33
