Jan ,Feb ,Mar ,Apr ,May ,June ,July ,Aug ,Sep ,Oct ,Nov ,Dec ,Year
6,18,46,127,250,321,374,311,270,177,22,14,1936
7,19,40,112,251,312,318,281,234,166,20,10,1770
5,14,39,135,300,393,407,338,272,189,14,6,2112
8,20,27,94,201,285,370,309,227,149,36,14,1740
7,21,37,104,235,329,364,302,264,171,35,9,1878
7,25,79,204,432,446,350,339,257,182,31,14,2366
6,30,129,380,568,810,726,644,478,225,27,10,4033
6,15,23,81,207,306,322,296,254,156,7,4,1677
7,12,17,75,213,351,379,338,353,168,6,4,1923
7,15,29,69,156,246,285,225,260,133,14,8,1447
7,13,23,58,147,220,280,240,249,118,10,5,1370
6,12,27,123,278,414,407,344,353,180,5,4,2153
7,10,26,99,249,392,414,354,370,164,6,4,2095
10,23,25,52,161,215,320,233,260,130,16,11,1456
11,20,34,67,176,265,357,253,263,148,26,15,1635
11,29,37,60,178,297,370,316,295,162,36,7,1798
10,21,32,58,182,349,421,343,317,195,43,7,1978
13,29,39,68,166,273,340,301,271,156,31,9,1696
11,17,37,93,198,372,412,336,294,201,52,7,2030
8,14,37,92,228,406,432,367,292,203,49,9,2137
10,16,32,68,273,498,694,511,416,321,62,7,2908
7,19,36,83,213,470,591,452,345,259,51,6,2532
6,18,45,111,257,353,415,341,262,181,43,12,2044
7,8,33,112,320,644,678,490,336,260,39,14,2941
8,14,40,104,313,615,710,559,286,223,46,14,2932
8,15,57,125,290,377,425,294,259,149,38,16,2053
5,12,35,81,336,786,958,714,415,255,50,13,3660
7,15,59,126,324,540,647,518,360,219,45,12,2872
6,12,28,101,317,681,804,616,453,330,51,11,3410
6,11,38,80,300,626,841,576,353,229,46,11,3117
8,14,55,124,318,553,648,522,388,242,50,10,2932
7,12,55,114,312,536,531,425,312,185,43,13,2545
9,15,58,108,381,708,930,664,492,279,50,8,3702
7,21,54,141,331,625,744,613,418,219,36,9,3218
6,6,18,53,308,928,1169,858,480,268,49,13,4156
7,29,24,77,178,277,237,257,201,162,43,23,1515
3,23,34,87,272,239,281,222,231,152,3,10,1557
3,12,47,116,413,543,556,435,393,256,15,9,2798
3,18,25,172,403,435,363,312,349,181,1,3,2265
11,21,39,154,260,254,383,212,201,49,4,3,1591
1,20,34,169,411,490,556,372,547,191,0,13,2804
8,24,28,93,238,232,257,233,171,159,11,16,1470
