Jan ,Feb ,Mar ,Apr ,May ,June ,July ,Aug ,Sep ,Oct ,Nov ,Dec ,Year
8,22,64,141,288,347,388,303,340,180,31,13,177
7,19,41,141,334,403,470,340,330,215,18,10,194
6,25,45,111,262,315,335,251,288,172,26,12,154
7,26,51,115,229,318,338,294,265,160,35,13,154
8,23,53,117,236,372,391,329,266,157,34,5,165
8,24,57,131,319,580,760,531,239,204,60,14,243
11,23,66,134,368,686,884,606,460,277,54,8,298
5,19,72,156,352,560,733,580,400,274,54,7,267
5,22,64,131,342,473,549,434,292,170,55,13,212
8,21,67,142,322,366,407,301,254,166,34,10,174
6,22,64,142,277,369,434,361,285,170,38,7,181
11,24,73,143,338,567,747,608,400,218,46,7,265
6,26,64,163,368,527,705,513,358,208,46,9,249
5,19,44,117,279,624,703,537,407,262,49,12,254
5,21,32,98,338,851,961,685,402,224,92,15,310
7,23,45,82,277,633,793,518,324,213,71,9,249
4,14,16,60,291,1000,1119,926,446,259,82,16,352
7,36,141,385,582,7770,794,626,555,195,30,13,344
6,30,91,209,428,409,341,338,283,174,36,13,196
8,14,24,56,141,242,313,248,272,119,13,10,121
6,21,34,77,173,236,308,225,293,114,16,9,126
8,13,20,76,211,327,370,288,300,161,10,10,149
10,12,27,118,277,466,476,344,377,187,9,8,192
11,11,13,70,226,365,451,360,362,162,8,9,170
10,6,27,92,251,462,438,330,386,179,11,6,183
13,33,52,78,183,331,322,305,290,157,38,6,150
11,27,45,57,178,346,381,316,331,185,43,3,160
14,31,41,86,159,294,345,300,299,146,32,7,146
14,25,46,72,188,315,336,276,278,139,31,12,144
11,21,27,40,148,229,344,210,315,133,17,9,125
11,25,54,104,206,399,424,354,284,192,49,6,175
9,25,44,111,235,538,598,454,378,225,47,4,222
10,26,46,87,260,484,631,468,398,277,60,8,229
8,25,50,116,241,458,458,374,307,191,42,7,189
